input_length,output_length
1283,1427
1278,1196
69,1631
408,5749
1141,5950
220,16507
888,1065
1256,450
236,1500
1037,782
199,18252
890,566
908,1459
883,2541
198,16538
913,675
557,17934
1130,3305
1291,792
937,971
922,1326
1022,729
1332,1872
137,2719
115,4068
1000,1023
910,954
113,3144
936,1690
107,9248
828,5081
763,7894
745,1316
1278,628
995,474
936,1056
391,11996
1199,3394
908,584
106,9908
1284,1015
1184,906
814,15298
641,3119
1054,2394
930,2092
1126,789
879,597
1226,1437
1058,2367
1034,997
921,896
1125,2474
849,673
1179,512
920,32768
1082,7886
1026,1656
1281,1835
1220,5079
202,6338
67,3406
967,1303
2029,1417
840,390
341,3903
892,746
1230,2710
432,2532
119,7081
121,7012
953,25683
1260,969
1176,1247
875,2917
1279,3484
1013,2374
735,1263
87,9577
1151,2209
154,13162
87,2799
146,9277
1082,1843
954,686
1087,4803
1187,3737
151,3160
403,2800
858,828
1145,2125
319,1865
925,749
380,16226
560,3823
869,2016
912,2041
921,624
113,8312
1306,526
938,3916
707,2497
1023,886
1070,874
1248,737
991,3986
156,5470
883,650
1164,1893
866,645
871,1107
85,6314
1133,914
544,3951
880,1051
913,1977
1105,1345
925,388
979,844
917,6448
1216,3931
840,668
873,2695
1374,1891
1169,1243
845,1498
173,15559
953,3728
948,3241
857,541
1115,1655
1260,4496
1184,1631
381,8527
882,411
1273,1029
1117,1581
183,11814
596,5008
698,5799
233,5217
911,924
781,7146
1143,2266
1345,2280
64,4375
899,591
353,2626
1141,1937
1024,922
101,3058
1350,591
1422,7528
832,541
901,816
940,1082
865,850
919,3371
146,12667
902,3792
961,5227
738,1826
934,1640
1008,1295
1363,4620
1134,847
1403,20763
881,3804
78,6837
1172,4510
859,4592
1038,730
867,938
970,4728
855,2181
922,640
844,375
179,3071
725,2424
995,578
1002,1096
522,1712
115,2875
833,542
130,12213
700,7205
891,1273
923,1287
1021,1503
1225,1093
225,17137
851,779
1314,1199
1335,1598
1295,3892
885,6156
179,12156
848,341
800,12032
367,11625
1042,5442
122,8647
1285,522
429,2341
129,21723
102,1943
1279,1121
887,601
1135,3540
1050,699
669,8035
512,4158
914,459
905,5921
93,18780
1014,7526
105,16673
1088,5308
911,425
1268,516
1968,6542
89,7308
1088,6153
1061,3711
1106,1460
541,7642
1318,3713
143,3934
1281,1718
1109,1760
498,2886
905,5403
844,595
140,9490
856,804
103,7010
614,2736
1313,2436
848,922
1025,1035
843,937
318,4682
901,640
1083,3448
905,568
861,843
106,16524
1060,1311
921,4045
1167,2410
1286,1210
1332,3006
98,11527
884,579
845,4106
844,730
968,666
781,2523
360,13462
95,2253
118,4294
981,721
76,5875
395,3911
389,9102
759,9442
1311,1115
1077,1273
846,377
862,719
1124,2501
1207,1383
223,6064
362,2625
406,6367
1332,2730
819,515
231,10030
912,824
915,553
1317,1983
883,1071
62,5025
186,20785
1005,808
1215,1132
1078,821
884,1772
203,11990
153,5753
518,15848
841,767
134,2903
1291,1143
1184,5151
932,1534
988,992
1282,3424
878,966
952,759
876,1297
85,2857
152,4201
136,10656
866,890
827,3632
820,16489
887,616
1005,574
1087,2012
748,7667
1024,1756
618,9960
862,32768
917,5016
1104,3290
1078,1082
632,2081
842,3070
871,769
952,1383
74,8604
877,996
111,3056
104,11813
125,2192
600,6480
1132,1368
106,8740
906,9164
935,1336
247,15182
1297,3091
112,10473
365,7960
895,1329
1002,955
179,11846
921,929
947,1117
1289,13475
850,414
1043,6003
106,5591
101,8771
895,1465
111,8465
159,14087
1351,1672
606,19703
1095,3708
1046,1261
1313,2083
891,4401
1059,692
949,1560
94,4493
992,835
586,7234
932,522
1266,970
1126,5844
1143,2348
1053,920
1097,848
693,5180
861,1334
833,1541
792,2358
1289,539
113,1452
1287,1298
1473,941
1372,1700
1093,32768
1019,5268
147,14906
113,3676
860,4543
129,12502
759,10702
519,6776
808,12743
942,642
835,419
68,32768
122,4703
897,2877
1319,4337
91,2818
890,624
887,984
901,592
85,9534
991,431
1262,1509
933,4234
1175,2039
844,696
126,17247
1268,1639
1045,2335
867,209
860,513
1018,751
850,585
1278,5096
964,508
1282,899
