input_length,output_length
146,1691
17,71
62,398
264,1984
13,2281
6,1733
270,187
50,1281
47,1536
61,1091
81,2011
63,2073
94,2030
242,2059
60,1901
407,1433
24,230
47,445
16,2034
215,1765
58,1246
97,1869
364,411
70,1
27,375
19,244
217,504
13,700
125,873
60,1199
73,799
8,308
43,470
24,508
43,1405
320,383
187,131
24,813
73,1484
79,974
43,113
99,250
46,82
283,1710
284,1606
204,1616
164,1583
353,835
14,627
450,1035
190,475
4,286
48,412
133,975
159,1720
299,349
49,377
7,36
275,872
435,1559
16,2215
19,1836
24,1631
1,9
67,401
104,1271
7,212
134,1459
21,692
72,1882
22,2042
28,560
52,1122
36,87
57,2233
11,926
16,500
21,330
318,1536
18,333
157,1776
5,846
107,152
108,2169
64,1769
68,1929
57,1892
57,2341
28,942
44,2011
68,2106
30,165
113,1490
117,1682
118,1965
108,2059
78,1836
526,1399
536,1524
441,1320
482,1270
100,787
75,301
65,494
54,1097
47,869
26,463
499,394
15,490
334,88
34,402
14,199
16,364
50,219
245,993
40,541
425,1749
1,961
198,1659
8,282
40,2193
32,1573
29,2101
22,2225
34,2227
15,2128
6,544
8,91
111,1234
18,144
476,1539
167,1608
6,317
30,111
112,1689
100,1913
9,333
160,1126
54,208
5,389
91,1576
11,386
160,730
10,210
11,1847
0,547
464,1360
22,182
77,134
14,560
40,213
81,1996
87,1745
76,1029
11,235
50,2300
114,2133
19,1404
111,1768
179,2358
203,2153
256,1838
160,1444
0,335
9,691
79,1754
61,515
442,1746
69,2078
131,1890
162,1580
286,1086
24,216
11,73
150,933
64,560
86,283
469,1
83,2323
82,1826
136,491
21,591
194,748
56,269
6,733
344,162
336,464
51,1536
101,664
51,413
126,1079
12,185
433,1740
240,945
45,1816
63,764
319,1077
287,1495
26,1059
10,454
23,150
35,2077
15,1364
26,708
39,900
107,1191
255,1708
202,2163
167,1815
154,2702
28,2831
106,2085
114,2416
203,2373
0,673
0,629
301,1732
124,1979
78,2072
51,1591
66,121
238,673
9,55
19,310
7,89
111,1865
65,1868
0,246
39,897
132,1676
278,1652
330,1662
99,2155
145,1748
15,622
7,88
37,440
38,1325
59,1716
46,1774
18,1872
532,1106
98,1136
52,880
50,611
47,1117
216,419
363,915
44,1589
60,199
186,723
352,1686
146,2068
130,1834
67,2019
2,1901
203,1585
73,704
54,593
27,205
32,531
257,1853
20,535
291,880
125,222
4,364
15,418
19,549
36,1362
394,1925
272,1716
308,1673
244,1742
83,502
47,1399
293,78
11,1929
88,2475
73,1874
79,1830
249,1747
281,2175
69,1889
29,2339
2,1978
8,1785
99,1042
34,1860
9,1029
51,2031
9,1318
147,1825
78,1999
126,1229
110,1038
90,1179
42,350
63,513
123,2051
304,2008
56,2210
58,2066
71,2068
147,2109
109,1219
340,2168
117,2120
322,1985
105,1288
29,619
352,1056
95,597
98,1740
37,2247
67,1710
59,2080
25,1887
51,1925
3,936
79,1459
47,186
1,9
77,327
32,1001
158,309
110,1621
408,1509
66,894
42,256
116,770
362,416
70,1681
16,527
188,625
280,1385
578,1266
375,1094
532,897
61,1044
153,1990
56,2466
7,2112
18,2627
59,2406
8,1409
19,470
47,2342
15,821
229,2156
188,2091
54,2143
8,217
10,499
22,202
4,362
25,759
44,2080
10,765
81,2003
9,830
72,959
53,306
493,1678
216,1144
35,258
137,953
42,2043
39,2270
37,2039
41,1943
52,1837
73,1840
80,1925
61,2025
29,2034
81,2037
41,2093
61,2017
54,1971
54,1831
63,2071
43,1935
41,2051
27,2029
58,2016
16,358
13,477
83,255
37,978
85,379
25,1669
33,554
183,620
99,178
43,242
4,14
436,1647
355,1612
177,1476
135,1154
108,1873
53,1525
12,296
426,539
28,140
26,198
62,108
613,1808
123,1642
53,255
173,56
69,417
118,792
109,2132
81,254
102,2219
1,1148
180,530
24,1055
14,95
17,886
154,1070
82,2293
2,1819
2,1717
54,710
17,547
57,1075
153,792
10,132
117,1932
100,1652
185,2102
57,921
220,1931
103,2017
370,1178
56,2330
52,759
27,621
23,570
22,430
39,564
12,156
153,141
2,30
57,1425
68,1951
74,1933
31,1780
61,313
1,886
206,1084
287,1565
267,1632
261,1212
244,681
158,1067
147,932
16,424
105,515
19,629
34,1552
139,1180
474,100
24,43
43,597
13,214
355,1096
26,1666
59,1270
379,351
16,46
264,1070
307,2302
39,1819
109,2168
8,1905
44,1971
8,1922
14,2074
187,1780
0,491
49,665
118,1731
18,2102
58,1111
69,924
13,487
16,251
178,1903
2,254
10,695
11,182
13,1322
206,855
217,1377
51,1703
339,1845
16,2090
31,2348
11,1981
45,363
29,1046
2,205
107,1759
56,552
44,2087
27,1164
60,1998
60,2010
65,1970
77,1991
86,1963
36,1063
65,1176
405,1527
56,366
509,128
328,1773
59,829
52,522
136,133
157,2103
16,653
442,1427
259,1717
387,1886
403,1780
406,1611
302,1779
267,1770
520,1493
486,1545
349,1535
404,1788
287,1842
306,1673
281,1768
182,1836
316,1825
214,1816
145,1812
395,1847
339,1892
318,1649
288,1777
262,2214
263,1759
304,1815
357,1676
319,1929
317,1829
255,1841
351,2104
188,1894
233,1948
165,1639
304,1700
233,1814
348,1842
156,1742
236,1849
249,2090
248,1811
274,1833
240,1682
301,1814
185,1844
262,1812
145,1989
214,1869
270,1781
320,1779
262,2105
300,1814
282,1704
318,1582
376,1484
521,1596
195,1717
417,1748
262,1849
207,1869
268,1585
436,1535
384,1555
352,1698
326,1538
360,1593
429,1765
219,1019
12,81
138,628
138,1953
57,2387
12,1213
125,1958
29,857
8,65
55,710
497,872
0,735
14,552
322,789
41,1303
40,1313
210,1828
188,1331
580,1017
467,820
131,1112
34,2239
4,1030
215,1814
256,2206
223,1661
179,1704
166,1972
89,1734
203,1546
80,1459
13,144
525,438
33,1960
35,1588
122,1169
400,524
21,278
7,140
114,1111
4,27
188,1972
134,2036
2,602
17,247
68,308
202,1967
112,1538
235,1533
11,333
28,333
0,3
32,782
74,1899
0,480
31,739
38,1216
300,184
55,1456
22,414
58,228
33,288
89,942
75,1753
353,1806
87,1870
260,1901
107,961
419,1454
200,858
23,292
36,368
82,375
13,312
39,325
139,2369
53,1796
107,1730
528,413
6,298
373,1501
89,2063
39,1769
80,1872
9,497
264,1635
385,1632
99,1869
81,1951
72,1374
10,625
54,1091
27,45
23,211
111,2003
16,1930
49,1993
16,2182
19,1606
87,591
20,737
16,473
184,829
25,156
10,90
78,1936
76,2053
48,987
3,22
2,17
50,644
85,561
234,1566
68,1144
63,1116
64,793
109,1798
7,1053
49,598
12,747
66,2355
80,1781
74,1987
55,1592
460,1383
79,1989
499,2094
422,1459
541,1171
508,1539
71,2306
35,2260
35,2239
24,2190
14,2284
38,2198
42,2068
59,1835
50,1973
45,1887
364,1654
43,1641
410,1738
334,1491
353,2047
55,2425
133,1845
379,2202
7,2039
22,1803
51,2014
57,1847
14,1827
342,1916
35,1748
14,143
64,816
72,395
22,658
18,111
24,246
75,1517
258,1590
10,382
36,151
60,34
29,958
5,248
54,830
19,557
35,624
24,34
442,486
193,543
129,189
20,255
96,1290
58,855
9,125
77,1325
13,561
309,1960
141,1881
95,983
103,1788
21,724
422,986
51,412
227,1544
20,133
59,1210
94,764
79,904
117,1386
231,223
9,202
86,1307
72,688
260,1919
66,229
8,311
193,1123
44,1692
21,729
138,1221
420,1814
30,2072
50,2007
40,2560
120,2229
148,1974
132,1860
44,369
427,1455
358,1413
32,1095
36,238
20,261
52,264
506,899
39,1746
24,1535
50,1304
44,1940
51,1841
72,2118
30,1064
281,1972
112,1804
190,1863
44,1925
3,711
19,693
415,1993
60,2119
80,2059
16,1141
30,360
78,217
41,1
117,435
84,1542
6,230
106,58
0,251
72,1956
35,419
43,764
15,308
102,815
349,1647
33,1135
80,2141
116,1881
587,1722
218,1672
272,1785
45,1936
65,2083
110,2169
606,935
31,978
105,913
40,214
95,2088
88,2111
78,1833
27,196
54,772
158,1150
174,272
216,1658
23,553
91,2321
2,740
62,2142
78,2270
27,1792
42,1104
24,380
118,1743
13,568
219,705
110,1162
39,382
47,527
22,326
12,143
35,92
16,165
0,29
37,164
24,2275
21,216
185,590
144,540
347,1549
335,1585
459,1019
37,341
50,2030
25,1197
104,1249
68,1832
125,2226
2,1160
101,1949
96,1961
39,710
53,983
181,2198
66,2254
32,1305
85,416
573,91
10,238
25,206
240,302
48,1707
109,88
37,100
1,9
39,209
131,561
9,768
172,1740
121,1814
86,1035
501,830
13,248
149,1355
45,417
251,850
373,376
15,600
102,1595
30,240
23,646
226,516
219,1941
38,2173
38,1569
214,1795
198,1414
245,1202
46,92
121,2087
146,1758
64,1303
126,87
13,157
31,291
21,108
16,393
379,295
21,396
2,12
73,2102
60,1998
60,2010
65,1970
77,1991
86,1963
36,1063
305,300
85,1166
6,946
24,1215
40,1362
56,402
7,184
129,572
36,300
16,367
0,218
10,134
4,52
7,725
59,1469
25,575
266,1868
156,1936
282,1582
279,154
163,537
161,172
43,968
9,309
11,258
308,1770
257,1746
92,1650
20,281
18,1822
47,1980
36,1200
29,690
540,324
12,364
74,649
281,1997
74,1807
372,1781
101,1795
73,1881
73,2002
39,1880
31,1600
60,1765
45,1904
59,1754
85,1917
62,1725
169,2002
60,1872
32,2127
41,1775
48,2002
89,1876
335,1765
134,1736
46,1585
197,1679
150,1752
433,1401
207,1697
443,1379
464,1523
53,1964
431,1536
471,1229
154,1736
355,1555
61,1320
565,698
30,1770
401,1562
168,929
62,263
130,646
79,906
47,226
59,1991
43,2423
182,1775
76,1486
302,1390
383,1555
323,1543
109,967
71,2192
29,994
7,250
7,643
64,1319
44,136
121,1956
4,373
520,1726
21,1860
54,1966
13,1954
23,1287
516,212
40,144
114,1045
71,297
72,2262
42,1467
104,649
71,2000
103,1904
76,1963
57,932
14,41
229,1719
453,1401
534,652
64,1581
55,1564
20,549
354,2009
125,2062
53,1176
4,37
81,2015
25,135
27,492
134,476
9,419
20,423
29,338
43,807
159,2267
131,1121
12,383
7,304
77,2638
2,1639
436,84
69,764
67,1887
42,2041
35,1259
87,973
62,1572
78,231
133,356
13,489
7,191
78,1800
6,742
55,338
289,761
8,713
71,2026
175,1913
31,2046
17,2222
13,1979
109,1861
71,2414
43,497
464,1783
145,2280
62,2190
185,1848
199,1923
147,1976
180,2006
257,1842
116,1940
194,1789
129,1596
59,1659
101,30
28,282
0,803
60,2046
47,397
29,1137
15,195
30,915
137,2017
49,1906
127,1879
35,1388
47,359
34,152
57,379
138,1993
132,2059
83,1743
172,1809
35,229
51,181
12,181
84,374
49,387
528,1042
389,272
18,394
157,2023
78,1102
23,498
302,1294
328,1418
83,1937
105,1712
87,1641
95,1748
30,1190
85,565
187,1384
85,1078
49,334
21,236
161,777
15,276
38,118
72,1447
551,1140
80,2232
365,1979
0,570
158,991
19,614
339,1759
37,1530
257,1602
132,1932
65,918
166,418
465,187
14,323
19,425
33,655
117,344
19,514
416,240
114,1802
48,210
93,772
5,166
107,290
154,731
317,1640
148,1071
28,706
282,1029
50,624
62,1836
19,930
93,2276
55,2050
63,2143
36,1629
111,377
159,470
29,259
95,460
224,1666
36,275
110,1654
14,791
11,206
418,1334
611,962
375,403
401,805
42,838
38,1845
69,1534
75,1422
168,329
374,1224
317,1307
22,793
112,1323
481,279
159,687
0,135
71,764
63,1833
10,407
12,95
6,290
146,1223
265,1630
20,2093
10,1251
143,1988
155,1945
122,2377
88,1974
36,671
34,2043
376,686
47,1087
469,367
128,1844
64,2094
112,1215
17,496
18,303
0,37
2,586
235,1151
142,653
58,414
91,635
228,603
91,559
34,2154
21,1632
43,1081
157,1274
23,518
34,1782
143,1919
18,628
59,588
44,755
42,1978
59,2026
36,1865
2,901
49,509
19,776
213,541
31,1158
93,2001
90,1080
27,247
74,1876
42,2142
57,1780
54,1075
34,1776
12,682
40,580
9,1179
29,861
19,1271
23,483
9,252
206,1704
151,2194
111,1995
603,1532
137,859
133,2234
382,1912
461,1286
14,700
247,310
21,220
41,236
69,1929
30,549
47,390
377,108
30,421
56,2128
12,1341
142,514
100,685
132,193
338,1766
174,1927
132,1786
165,1842
177,1764
141,1837
126,1907
47,575
42,738
87,1476
97,336
11,354
73,1125
346,1684
10,368
38,695
86,744
36,568
12,2144
29,2118
19,1910
23,1973
18,2274
7,2057
28,2368
6,2004
9,2343
11,2431
7,2027
12,2217
9,2317
3,2247
3,1886
8,1864
16,1984
11,2228
14,2000
18,2418
16,2503
20,2208
15,2300
18,2200
11,2086
6,1553
2,9
239,1842
43,680
14,597
345,237
188,1827
100,2011
47,1588
67,236
56,2330
37,1286
63,745
8,80
67,986
19,457
146,178
2,945
575,439
17,559
198,681
166,1267
612,1413
316,470
102,767
34,1040
35,431
36,277
21,411
319,766
43,506
52,2324
10,2094
30,19
27,398
2,34
231,1442
394,204
236,1698
121,1305
53,459
37,230
143,1792
78,1627
55,537
156,1934
89,1194
54,596
43,1861
25,309
30,402
40,880
178,91
246,1691
329,1603
303,1644
268,1027
121,1089
90,227
12,277
76,368
137,671
154,444
81,1887
85,2096
91,1898
66,2105
154,1701
104,1858
103,2295
156,1774
187,1774
2,302
173,1060
534,1658
351,1603
293,1586
264,1513
586,1398
0,103
0,85
0,78
0,84
0,771
427,1134
82,1762
315,1683
592,1370
281,1911
325,1616
338,1492
272,1997
168,1593
409,1220
137,612
41,421
353,151
20,553
24,293
549,1399
47,928
24,561
246,1830
40,1314
18,233
127,1901
47,1052
1,9
149,1796
218,370
105,345
29,562
217,2097
64,116
54,921
182,1601
12,29
9,1194
15,1513
16,456
90,2158
49,1948
26,2203
80,2192
447,1672
417,1634
63,2136
66,1402
124,1689
10,490
61,231
124,659
69,1786
30,790
234,1660
9,527
5,311
45,524
87,468
22,276
181,1975
23,1451
48,455
6,204
41,266
206,1833
164,2076
153,1847
290,1844
87,1936
178,2025
96,2060
182,1948
152,1913
113,1713
159,510
321,1752
63,870
67,547
285,108
11,94
345,1549
378,111
404,1883
9,1231
113,1265
84,1954
124,1924
5,612
567,1698
90,2076
11,726
31,1839
20,2307
60,2313
19,2157
38,2156
15,1852
11,1044
85,309
14,324
32,615
415,1120
19,890
91,347
52,1388
61,756
61,1637
535,1383
2,1488
24,380
208,2241
1,965
44,147
300,284
87,1848
60,2064
26,650
105,450
61,985
29,1360
23,221
30,1103
34,70
66,1703
10,681
274,1282
291,1601
455,1243
57,1077
163,2200
105,2005
46,1206
438,1628
99,875
32,904
99,1734
63,1911
65,2003
11,680
6,163
88,88
74,1899
476,1947
141,1425
66,1493
138,90
71,1945
79,186
115,1956
21,2223
58,2172
45,23
39,331
64,1295
91,1849
98,1859
130,1063
548,1455
121,2207
19,1205
110,1238
6,47
39,121
52,373
162,2143
50,1469
149,1796
135,1151
15,44
27,770
62,1250
49,233
19,2065
8,2346
99,1842
144,1834
47,2564
68,2286
72,2225
31,2044
67,2040
75,2240
73,2337
79,2355
182,1984
38,1795
133,2325
115,2217
126,1918
31,1862
81,1856
102,1790
279,1809
73,2443
12,2679
43,2245
29,2622
46,2162
46,1883
69,2280
46,2093
46,2285
63,1966
45,1942
130,2263
119,1769
323,1952
77,2237
134,2272
120,2263
123,2138
121,2096
182,1818
137,1875
156,2302
156,2057
156,1860
312,2256
156,1950
156,2182
156,2300
156,1793
156,2142
234,2453
156,1803
234,2078
156,2301
156,2034
234,2488
156,1848
234,2465
156,2293
234,2320
234,2530
119,2603
213,2330
43,2307
81,2249
37,2117
69,1808
196,1809
135,2129
90,2091
346,1741
137,2035
60,1688
275,1540
113,1721
75,2616
159,2264
16,1379
36,2423
272,1968
40,2307
184,1692
84,1886
246,1898
143,1409
102,822
202,531
143,2009
44,448
60,46
146,1443
104,1840
133,1740
101,1889
112,1993
79,2473
58,2072
37,1019
296,1641
60,1845
16,1802
66,2396
11,1173
384,1584
29,1841
30,1341
292,1067
78,2098
78,2110
78,1932
26,781
20,662
136,2233
274,2113
299,1950
209,1810
59,1280
308,458
436,1392
67,751
48,1980
16,2002
18,1571
4,232
493,1523
6,1175
194,1453
192,1575
28,772
53,734
28,525
55,125
102,1715
8,239
251,131
163,1363
10,257
52,432
66,385
33,1318
434,722
417,1085
68,237
385,1153
47,1154
100,1901
120,2002
4,398
172,209
0,389
0,363
65,148
12,430
600,1356
61,1356
88,1270
26,1275
62,1907
21,2181
8,604
30,259
162,269
280,1012
10,316
85,1965
94,1959
74,2401
38,1917
119,1748
99,1852
46,1857
25,840
239,767
555,1084
157,185
547,1481
494,1540
437,1420
335,1025
21,53
149,1979
4,67
166,1874
136,2094
32,1328
19,521
83,1363
21,558
21,353
8,314
329,1377
30,517
31,1080
25,115
34,2316
58,2030
95,2095
86,1349
19,597
31,907
36,494
85,1816
64,1626
9,42
7,271
99,1299
13,1
35,499
6,212
41,534
17,286
36,482
262,1705
56,756
20,113
8,190
26,1503
318,1968
12,1902
42,233
8,272
472,1440
304,753
74,698
67,1980
58,1441
60,392
56,770
282,1668
382,1775
191,1941
176,1931
307,1589
341,1577
244,1744
286,1763
323,1740
263,1754
248,1957
282,1720
283,1814
163,1788
258,1682
326,1686
318,1497
328,1688
367,1667
334,1796
242,1768
211,1959
256,1770
247,1789
282,1810
257,1821
234,1809
202,1662
205,1694
245,1872
227,1796
184,1807
155,1812
147,1852
161,1753
225,1793
236,2028
148,1747
229,1832
226,1678
215,1830
172,1957
214,1982
148,1757
113,2013
141,1948
183,2322
135,1990
214,1761
186,1726
166,1871
228,1792
297,1819
234,1824
203,1657
223,1728
190,1711
77,1886
186,1912
240,1837
167,1746
146,1896
216,2200
235,1949
10,150
1,9
146,238
80,883
9,1256
319,457
172,2465
50,1305
108,254
1,0
170,1495
30,554
203,1343
18,1078
10,93
2,29
84,1599
6,828
74,940
273,1636
177,1742
426,1352
486,142
52,454
40,1098
28,2020
47,1534
18,266
40,29
196,2026
84,2042
58,1474
168,708
437,1722
245,1667
