,,,,,,,,,,,,,,,,Benchmark  /  Model MLC  /  Scenario  /  Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Inference,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3d-unet-99,3d-unet-99.9,dlrm-v2-99,,dlrm-v2-99.9,,gptj-99,,gptj-99.9,,llama2-70b-99,,llama2-70b-99.9,,llama2-70b-interactive-99,,llama2-70b-interactive-99.9,,llama3.1-405b,,mixtral-8x7b,,resnet,,retinanet,,rgat,stable-diffusion-xl,
,,,,,,,,,,,,,,,,Offline,Offline,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Offline,Server
Public ID,Organization,Availability,System Name (click + for details),# of Nodes,Processor (click + for details),# of  Processors ,Accelerator (click + for details),# of Accelerators,Availability,Accelerator (click + for details),Host Processor Core Count,Processor (click + for details),Sum of # of  Processors ,Division/Power,,Samples/s,Samples/s,Samples/s,Queries/s,Samples/s,Queries/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Samples/s,Queries/s,Tokens/s,Tokens/s,Samples/s,Queries/s,Samples/s,Queries/s,Samples/s,Samples/s,Queries/s
5.0-0001,AMD,available,QuantaGrid D74A-7U,1,AMD EPYC 9575F,2,AMD Instinct MI325X 256GB HBM3E,8,available,AMD Instinct MI325X 256GB HBM3E,64,AMD EPYC 9575F,2,Closed ,# of Accelerators,,,,,,,,,,,8,8,8,8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,# of Nodes,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,,,,,,,,,,,"33,928.10","30,724.51","33,928.10","30,724.51",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,
5.0-0002,AMD,available,Quanta S7PA,1,2xAMD EPYC 9655,2,AMD Instinct MI325X 256GB HBM3E,8,available,AMD Instinct MI325X 256GB HBM3E,0,2xAMD EPYC 9655,2,Closed ,# of Accelerators,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
,,,,,,,,,,,,,,,# of Nodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
,,,,,,,,,,,,,,,Avg. Result at System Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.10,16.18
,,,,,,,,,,,,,,,Sum of # of  Processors ,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
5.0-0003,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB NVLink TensorRT),1,AMD EPYC 9475F 48-Core Processo,2,NVIDIA H200-NVL-141GB,8,available,NVIDIA H200-NVL-141GB,48,AMD EPYC 9475F 48-Core Processo,2,Closed ,# of Accelerators,,,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,# of Nodes,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,,,"326,670.00","525,118.00","325,823.00","300,029.00","18,113.40","17,953.90","18,113.40","17,953.90","27,765.30","27,417.30","27,765.30","27,417.30",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,,,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,
5.0-0004,ASUSTeK,available,ASUSTeK ESC8000A-E13P (8x H200-NVL-141GB TensorRT),1,AMD EPYC 9475F 48-Core Processo,2,NVIDIA H200-NVL-141GB,8,available,NVIDIA H200-NVL-141GB,48,AMD EPYC 9475F 48-Core Processo,2,Closed ,# of Accelerators,8,8,,,,,,,,,,,,,,,,,,,,,8,8,8,8,,8,8
,,,,,,,,,,,,,,,# of Nodes,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,1
,,,,,,,,,,,,,,,Avg. Result at System Name,49.54,49.54,,,,,,,,,,,,,,,,,,,,,"680,738.00","540,125.00","11,263.80","11,988.90",,16.03,14.81
,,,,,,,,,,,,,,,Sum of # of  Processors ,2,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,2,2
5.0-0005,ASUSTeK,available,ASUSTeK ESC A8A-E12U (8x MI325x-256GB ),1,2x AMD EPYC 9475F,2,AMD Instinct MI325X 256GB HBM3E,8,available,AMD Instinct MI325X 256GB HBM3E,48,2x AMD EPYC 9475F,2,Closed ,# of Accelerators,,,,,,,,,,,8,8,8,8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,# of Nodes,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,,,,,,,,,,,"33,366.50","30,086.52","33,366.50","30,086.52",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,
5.0-0006,ASUSTeK,available,ASUSTeK ESC N8 (8x H200-SXM-141GB TensorRT),1,INTEL(R) XEON(R) PLATINUM 8558,2,NVIDIA H200-SXM-141GB,8,available,NVIDIA H200-SXM-141GB,48,INTEL(R) XEON(R) PLATINUM 8558,2,Closed ,# of Accelerators,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,
,,,,,,,,,,,,,,,# of Nodes,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,,,,,,,"21,171.30","21,533.90","21,171.30","21,533.90","34,807.10","33,037.22","34,807.10","33,037.22","34,809.30","19,418.50","34,809.30","19,418.50",557.10,291.18,,,,,,,,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,
5.0-0007,Broadcom_Supermicro,available,SYS-821GE-TNRT (8x H100-SXM-80GB TensorRT),1,Intel(R) Xeon(R) Platinum 8568Y+,2,Virtualized NVIDIA H100-SXM-80GB,8,available,Virtualized NVIDIA H100-SXM-80GB,48,Intel(R) Xeon(R) Platinum 8568Y+,2,Closed ,# of Accelerators,8,8,,,,,8,8,8,8,,,,,,,,,,,,,,,8,8,,,
,,,,,,,,,,,,,,,# of Nodes,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,1,1,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,51.38,51.38,,,,,"19,936.50","19,318.90","19,936.50","19,318.90",,,,,,,,,,,,,,,"14,313.30","12,869.80",,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,2,2,,,,,2,2,2,2,,,,,,,,,,,,,,,2,2,,,
5.0-0008,Cisco,available,1-node-2S-GNR_86C,1,INTEL(R) XEON(R) 6787P,2,N/A,0,available,N/A,86,INTEL(R) XEON(R) 6787P,2,Closed ,# of Accelerators,,0,,,,,,,0,0,,,,,,,,,,,,,0,0,0,0,,,
,,,,,,,,,,,,,,,# of Nodes,,1,,,,,,,1,1,,,,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,,2.26,,,,,,,315.39,168.69,,,,,,,,,,,,,"31,559.20","27,988.00",476.59,350.92,,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,,2,,,,,,,2,2,,,,,,,,,,,,,2,2,2,2,,,
