input_length,output_length
18771,836
15967,1288
10151,557
8019,911
8084,706
5986,708
5728,835
14339,744
7484,734
17581,916
7327,869
7329,808
7360,797
18196,843
15718,583
6733,681
3665,704
17195,799
2964,833
13078,899
4392,820
9416,952
18324,912
16092,635
7252,926
12395,729
12151,680
12639,625
5539,717
7745,740
16912,748
15864,784
14666,639
19603,837
12052,660
6588,759
6343,677
14576,1011
10039,711
15064,733
8580,976
14799,778
19068,814
12560,614
6334,559
18189,646
19075,958
6199,1150
8609,801
15198,765
7840,739
8276,780
17280,741
15885,912
8175,776
7985,859
11181,809
11755,693
18922,939
6097,1006
18343,672
16775,877
15739,905
4249,672
14682,792
17310,746
14006,715
17379,840
4090,686
11597,798
3196,702
10588,957
12699,540
7699,823
8306,1062
8006,718
14974,924
7659,876
9401,697
18523,756
12247,681
18663,674
6904,780
3953,743
9919,886
3432,623
10718,937
12559,805
13123,871
7328,630
10903,812
9578,1145
8159,741
18941,754
11136,818
476,493
19159,778
11971,797
18969,748
5382,691
17378,744
7829,729
11357,859
5465,663
18316,1150
12797,902
9599,803
11685,715
17798,740
8644,607
17458,584
14545,746
15328,675
3412,620
5751,627
3038,1095
19732,1202
5199,643
11671,768
3473,1123
12681,812
11338,609
11763,1194
8678,757
17620,564
16183,754
12434,677
15704,720
8886,845
18868,878
17938,774
15869,746
6475,769
8246,1073
13271,762
19686,817
11233,633
18175,701
15432,780
4379,1085
5213,895
11916,768
12135,1161
6513,642
15031,748
3259,774
9823,846
9498,1086
12352,814
8617,655
15248,774
9714,698
4627,773
10253,653
10313,858
10102,794
15441,948
11954,567
15054,952
9569,914
17178,783
13109,756
9857,1362
3557,771
19826,679
15985,679
11508,753
8766,782
11877,954
18739,823
14109,676
13712,667
9407,795
7815,1130
8067,683
9029,759
8439,793
4396,635
12373,1154
8525,869
11853,1166
7566,853
8393,825
14656,828
10927,917
13847,792
17557,1259
1720,706
4553,908
14918,647
9802,754
14285,636
18513,651
5023,671
15294,722
3169,817
2924,577
9645,993
11038,553
543,500
5529,824
7226,977
14552,909
2948,868
19104,760
14921,691
11501,860
9500,745
7025,698
9433,706
13852,632
7834,869
5532,1031
15207,882
8498,803
15775,526
5903,519
3704,791
4928,714
14351,658
3328,632
5123,907
2350,703
10683,761
4445,797
7020,763
16975,698
8127,653
15983,1437
4052,868
6236,878
12032,877
673,540
5616,773
11319,732
4242,657
10404,705
8107,710
12476,786
12831,743
3693,719
7848,1001
12473,668
8302,746
8240,744
5658,616
10447,693
10981,811
7381,691
5920,1217
12325,849
19417,857
12592,678
9721,606
2742,783
11291,838
16059,809
2745,737
3594,845
1355,515
8570,854
509,455
11143,629
8527,708
19850,932
5290,625
8647,746
5835,561
9399,702
13378,755
3060,667
7512,662
16789,754
11245,1032
4517,610
3959,811
11007,712
10792,801
5342,694
12820,802
3990,839
15992,783
11540,712
16461,766
3579,676
7994,728
9191,728
12417,556
8772,627
7326,561
10504,827
5249,826
6274,720
11337,480
15267,907
3911,770
17511,730
3398,696
7844,799
12577,666
9631,876
3888,715
17783,695
13726,1048
1221,473
3009,775
14492,690
17104,877
7098,782
10107,1046
10245,641
6553,798
14997,694
4288,653
16877,879
16045,934
16260,813
8578,680
6374,811
7768,680
12050,652
9698,684
2945,803
9292,790
3662,702
5835,775
9364,591
5503,946
8605,978
11519,1047
6099,684
11635,1101
7992,660
8552,687
4519,823
4417,805
10980,825
9457,645
10646,784
16217,613
2794,651
9912,1431
3588,748
10586,696
6669,692
15012,614
5338,687
9733,848
8081,556
15622,822
14950,750
11544,822
12046,713
9512,824
3659,948
12951,829
7297,711
8494,744
9126,635
5107,825
14122,797
2642,691
6097,579
13307,782
4252,832
5552,777
6738,578
4522,671
9679,707
4580,1026
16440,1361
7066,691
6345,802
4737,790
5503,1068
4140,653
3822,792
13167,715
4523,602
15743,640
5086,674
10465,757
6830,545
13570,813
3957,638
19599,796
16301,718
5630,739
4633,511
7086,708
2960,615
9802,688
9037,832
6006,770
13192,751
4335,718
7509,829
3525,878
10086,852
19874,821
10319,983
9071,711
6243,834
6365,745
15396,620
2862,633
18647,710
7980,734
17112,571
14083,919
10979,911
10707,1126
11383,1177
9264,654
8169,652
7095,826
7503,885
12985,644
4528,756
3519,791
17515,729
12975,1216
4358,760
11913,761
779,480
12201,733
12371,833
15020,740
10112,884
13486,650
16225,1029
5741,644
6029,650
9725,959
5943,678
10354,762
9132,747
13713,883
7319,992
7812,992
3118,625
2573,752
863,599
6751,662
3218,681
12899,580
8883,789
19376,830
12354,796
11273,826
8092,1006
3169,606
4755,696
2133,615
16819,680
10775,743
4936,929
5378,631
10319,838
11050,675
12305,656
12886,652
3837,739
8581,870
12354,1087
14097,1070
4110,817
12494,841
5755,824
1807,536
2715,781
18091,648
11377,841
5126,629
17579,980
5122,734
10351,826
4690,764
13639,685
3259,773
8971,776
15364,841
7874,838
18762,892
9049,621
2699,570
14275,907
6208,633
5601,719
7439,699
10551,721
7221,874
15488,810
14583,960
7738,702
9937,1016
6031,707
11755,765
3155,627
9688,615
5714,874
10728,759
6079,862
10558,775
3971,825
19309,974
10380,652
13462,640
13606,811
14322,799
4289,961
18446,855
8174,701
6845,796
13725,601
7362,640
3771,945
7376,627
2799,720
4527,774
18868,677
6790,587
8686,672
15143,579
7061,739
10962,649
6771,616
6975,769
6457,875
11129,742
14396,720
13005,901
9793,775
8236,745
12523,800
12859,780
11308,765
6203,843
8345,804
4093,804
6444,808
4398,849
16589,576
6609,842
2305,689
17720,632
5025,680
10829,1096
1723,490
4592,792
5666,622
13572,759
17533,868
5867,705
6132,677
17186,791
7797,681
16804,1056
7533,938
14165,681
9394,1059
3321,816
15760,686
19365,898
2780,665
10143,807
13634,912
5082,740
5291,1015
6176,666
7593,753
19318,899
2298,649
5275,792
9188,755
4131,699
4322,730
6431,863
17119,1293
9441,984
4846,652
1809,620
5550,695
17373,728
7876,1388
15405,641
13206,1025
8344,826
4813,631
11436,913
4067,741
2660,723
12532,825
6313,715
11739,753
2435,638
600,477
8486,609
5495,576
3578,800
10163,789
4794,782
4070,854
16703,831
5834,729
15988,946
8551,695
19652,682
12767,710
5302,837
17725,744
17394,854
3688,611
3193,480
10882,849
2976,736
19187,844
4751,730
3393,743
4985,737
5369,821
5458,737
3376,861
1074,674
7902,703
18330,840
1787,727
14994,896
7269,913
4279,800
17276,887
4290,799
10268,616
12558,761
4843,615
5386,720
7907,623
17798,907
13514,682
13590,847
19613,726
826,508
16241,1057
2576,701
12490,910
4992,683
16652,807
2201,645
11861,641
9722,677
10429,843
9962,804
5822,776
4074,882
10814,901
7363,604
4405,626
14812,725
551,570
3789,798
5466,955
5333,805
6448,653
4187,692
3693,802
4481,544
16008,925
7467,780
5475,685
7217,578
7489,666
19523,733
3482,808
2796,778
8824,735
13870,686
6636,856
4890,732
4972,795
16621,884
3745,616
13454,989
3642,775
706,580
5236,528
7093,578
18537,783
13656,751
3436,697
6043,926
7473,1023
6698,729
3837,825
12083,748
2984,786
7183,921
10021,1226
3727,769
2359,634
7501,885
16305,696
7515,737
15357,1198
13410,650
6859,734
19819,732
1981,720
9060,893
1491,638
4978,840
13781,887
17763,732
7423,758
13248,1195
9069,780
3527,850
3127,900
4166,720
8507,697
6451,882
9775,652
3880,860
16083,936
12634,1080
3915,655
6229,650
9449,790
7292,550
13709,588
4135,885
5304,683
6940,757
6865,774
5564,697
14530,767
5732,800
4051,766
15093,877
10043,773
15280,688
735,686
3143,684
3535,592
11541,711
4284,584
4436,815
4600,891
7878,628
4325,656
4853,669
6606,747
4643,574
2217,859
14080,745
1400,801
11076,513
6358,716
5218,950
13027,995
3920,741
5552,624
7036,837
15619,695
6288,638
3335,653
10873,834
8456,774
11029,1100
10865,881
3750,706
6348,790
6481,821
7084,655
4361,800
8002,684
14762,687
11503,750
10687,690
9914,1069
3605,650
17891,576
10680,629
1597,655
11752,902
840,476
4684,1135
10100,739
4968,1262
5479,880
3296,924
2074,924
4858,628
6709,791
2147,692
4561,753
3551,724
5168,681
7301,708
11182,507
6814,798
18030,525
17325,752
1742,609
13848,791
4398,608
19561,1002
5073,925
5067,825
4213,973
882,743
10622,751
5521,723
7632,657
16870,715
9146,736
10544,637
6311,754
5595,892
19301,842
6254,744
6927,788
7521,653
7747,584
5614,738
8694,781
12006,671
9703,775
14406,1017
1075,557
9863,885
5921,639
13739,793
2775,524
19635,1041
7450,730
4948,664
3695,619
4508,860
3225,686
2194,708
16760,824
9364,788
3041,540
5065,826
5918,790
4766,847
12055,695
18303,809
1548,630
18970,1162
10137,705
16384,678
6731,700
10655,796
5996,807
7528,596
3128,726
2015,644
2898,625
12814,1187
5461,673
9382,812
9051,829
9700,674
4174,695
2909,755
14362,820
8689,771
11851,930
7290,865
8137,891
5414,830
2905,701
3660,702
4485,713
3705,559
6768,708
4357,754
5417,893
7812,695
2579,882
2458,591
8328,704
3503,697
9288,713
11405,837
7805,797
16077,665
4079,832
5716,974
18269,719
2244,761
14700,901
2228,725
2068,651
10777,697
5591,738
4031,638
2904,682
4884,984
4690,744
3105,696
8352,592
4525,620
2850,677
7359,877
4319,622
9389,734
3938,838
14025,698
5115,744
3474,707
6260,589
5184,572
4763,886
4128,975
6371,812
15533,822
9588,1262
3773,615
5437,669
4994,811
4879,672
8625,771
6396,649
3926,638
3895,646
2270,757
3067,595
5048,776
8199,662
4019,740
4551,740
4998,681
4380,689
3307,690
4822,946
5168,752
3764,904
10077,784
18376,688
8467,842
3396,726
5950,671
6795,846
7787,645
2999,668
5386,563
6691,862
7730,985
9254,733
17588,782
4949,616
4498,632
6777,824
3305,785
7241,671
9022,864
4982,596
5220,577
10019,815
5817,657
7864,713
3535,805
2339,746
11802,738
1419,620
4954,663
4132,789
6123,767
7452,546
3839,744
2357,620
6491,682
2590,887
5879,727
3898,746
6010,640
1615,449
2635,679
4762,593
7707,786
2313,566
1460,514
11650,668
2484,755
4486,610
1760,633
16669,690
2630,774
4310,752
4862,643
18278,967
1713,629
4569,824
1055,441
8186,769
6439,724
13298,820
12559,625
5157,1072
9400,842
5450,751
3565,721
4746,598
1387,574
7243,709
12762,933
17578,572
5139,850
7658,740
15692,719
3765,693
11238,882
3245,794
2689,769
2454,866
6941,691
6913,829
4242,998
4317,627
4417,670
6886,841
2308,560
6689,648
3561,599
5047,641
4189,450
7245,837
19159,1356
3606,813
16308,867
4317,723
14923,867
10722,672
7656,844
2184,606
7056,775
3317,679
4295,698
6691,667
6127,806
17857,834
8908,711
6596,567
7196,993
3939,691
10458,635
16182,649
5396,595
13425,812
4789,701
9923,749
16511,756
13609,743
2791,747
7536,654
10402,903
5024,830
7953,783
4405,708
6804,607
5137,638
8730,760
8731,819
9604,1326
8180,958
8104,703
9948,856
4564,912
7178,766
5294,777
6167,608
18718,1042
13148,636
6985,837
4854,787
5752,705
2670,728
1988,818
2789,791
5843,753
13614,956
11151,918
15524,670
8640,728
17249,732
1385,568
4952,537
7457,1244
5005,934
4200,844
2755,751
4901,634
1734,622
1008,545
3283,836
6773,644
6424,723
6978,888
2173,602
6037,745
2237,472
2721,650
4697,636
4107,759
4207,712
6259,669
5486,654
4006,648
2525,1127
2632,661
6844,866
5793,774
5676,647
8134,763
3696,733
4722,617
12795,809
5551,575
3809,1002
4944,550
2030,701
3530,599
5476,634
12151,734
11475,615
3402,844
4983,651
4682,787
5353,909
2707,682
5875,536
6701,788
18959,896
13620,604
9314,1019
5654,577
3854,940
5121,986
16456,635
10002,753
4687,719
9388,782
4245,716
2582,753
7865,704
4188,746
6376,832
4512,751
7995,793
2644,711
3807,857
1750,710
3578,693
4359,766
4334,651
5250,733
5239,692
3535,720
7807,671
15426,1043
13378,1007
8148,608
7830,725
8301,609
5366,675
8777,931
3978,919
1514,514
2978,746
4521,734
4343,965
9026,804
4259,782
3416,556
4559,692
10200,673
5723,649
2595,677
17060,827
4625,715
10805,712
19045,745
5360,630
5301,739
2461,812
4845,612
2663,504
2341,705
16677,893
5002,1018
12912,650
3031,823
3218,820
5243,772
3773,525
1728,580
2306,899
5099,1062
4610,538
3756,817
4534,883
7946,860
14219,923
10459,996
2422,799
4252,836
3360,575
2137,780
11332,754
6039,686
2823,598
3428,708
4030,525
8560,697
1113,511
4197,758
7591,615
5808,974
3970,901
4722,732
11617,789
5649,671
5715,851
4504,597
15841,677
4239,718
4701,692
16231,867
2961,671
11248,817
