input_length,output_length
959,35
1639,46
574,66
469,33
603,27
1009,58
665,65
196,23
587,51
528,43
291,78
517,58
350,37
316,31
289,78
384,53
254,40
492,37
956,70
725,42
203,68
141,19
293,26
673,27
671,58
415,39
375,52
222,40
208,46
443,57
970,54
400,34
224,37
1502,42
427,46
976,41
543,37
519,55
242,24
1748,42
153,53
626,35
1289,43
898,62
436,57
366,64
387,54
688,37
936,58
211,26
853,78
1447,59
899,41
1330,66
995,81
527,59
513,41
423,36
423,43
1097,47
1151,80
715,56
1008,65
979,35
806,61
1043,58
428,64
1900,58
606,45
1439,83
623,79
440,56
481,31
457,60
1094,52
1186,46
1167,52
1035,58
1168,48
749,54
1177,44
683,45
537,45
989,32
640,39
754,37
1694,43
1283,57
1014,50
1081,43
997,38
715,39
854,68
774,36
465,48
225,52
153,34
492,48
1168,55
1808,39
1122,55
535,36
711,53
897,56
494,39
284,39
1237,69
239,25
301,39
1545,36
1835,39
541,32
212,30
840,50
856,28
435,49
497,26
1370,38
1392,34
1524,53
1583,39
263,40
664,43
987,84
1001,43
258,23
303,32
382,61
485,52
544,40
572,51
1018,58
288,78
997,39
568,36
968,41
166,31
673,57
424,35
1313,60
228,45
718,50
305,41
331,43
796,54
345,38
1350,60
260,33
911,32
722,71
400,32
1046,58
154,35
949,31
322,32
270,39
616,53
444,48
682,45
577,63
264,33
749,54
1071,36
661,58
317,46
1008,63
685,36
1286,58
1195,51
913,60
553,24
247,36
428,46
873,74
1429,61
505,66
1045,60
1159,55
1159,50
429,29
337,46
356,42
1126,42
973,37
379,69
355,58
1347,61
1070,60
608,55
1891,60
529,20
934,46
351,40
808,34
248,24
932,66
915,43
899,72
780,53
290,78
843,62
609,44
642,53
797,64
345,45
1537,58
1210,54
1477,65
528,48
367,33
463,62
530,62
1446,57
184,32
892,46
304,41
310,58
1297,67
885,46
1012,30
511,64
1347,46
729,69
878,79
1012,60
235,29
493,63
250,61
965,53
997,31
254,30
246,39
932,64
737,39
899,38
447,65
302,78
739,57
555,47
999,46
647,60
477,96
756,53
390,41
1716,69
464,41
1313,63
390,38
323,26
494,65
1183,64
791,76
483,44
676,58
1040,50
178,36
443,23
1212,79
552,39
892,41
669,51
1564,66
922,68
220,37
1031,58
307,39
283,35
944,27
2013,73
391,26
210,33
440,47
539,50
261,45
259,65
475,51
418,46
930,33
398,54
767,35
688,51
802,58
983,78
950,41
970,45
853,29
346,39
713,38
1931,26
1284,53
698,48
726,66
1281,39
491,54
329,31
525,36
560,60
1320,61
651,34
702,37
1093,74
1134,40
1779,73
1601,40
931,43
1082,59
1270,40
802,72
371,39
1103,63
828,63
1343,64
645,76
406,33
610,36
687,71
921,45
1027,31
339,41
603,64
513,49
614,53
863,51
447,41
828,74
671,44
665,48
801,44
764,39
762,43
572,61
385,14
809,59
408,69
908,66
1216,66
1476,39
665,58
1374,75
699,35
1432,48
282,50
746,51
1660,64
648,41
773,41
804,44
1347,46
965,70
320,58
803,67
891,54
663,41
919,66
853,46
1979,58
737,65
448,43
385,25
988,60
375,30
1196,53
313,39
930,49
261,34
676,43
597,70
1676,78
199,50
980,59
1393,45
