input_length,output_length
657,173
657,117
662,223
648,95
634,74
640,90
667,107
655,83
705,486
677,146
656,189
672,209
709,259
644,76
686,174
660,95
646,96
670,124
640,60
649,120
655,114
669,117
658,159
651,98
673,182
658,154
658,103
687,264
734,137
675,106
635,68
642,80
661,118
642,76
660,164
680,95
655,72
650,120
667,77
643,77
651,188
661,182
652,70
732,226
636,62
642,59
667,130
686,106
648,72
649,86
661,135
653,85
665,94
648,98
637,72
656,67
649,74
662,186
657,96
646,82
696,94
663,107
627,88
690,105
651,91
637,79
650,212
672,168
669,178
674,130
646,137
664,121
645,109
696,96
681,122
671,82
667,89
657,97
658,75
661,90
688,176
675,217
649,86
637,47
649,75
651,95
660,110
669,253
656,112
685,187
636,103
630,68
670,180
654,95
706,177
658,83
646,75
680,157
668,127
668,76
705,258
653,113
701,121
656,125
686,220
644,125
675,234
689,140
664,109
647,107
702,179
701,138
656,114
687,107
629,76
653,88
645,95
649,67
671,179
640,89
681,132
654,110
683,130
640,110
658,72
653,74
665,96
643,82
664,111
651,125
659,96
691,73
662,130
664,80
648,99
670,156
650,156
708,215
648,112
709,220
694,182
649,99
660,117
735,65
637,93
631,84
647,124
642,84
682,179
692,90
658,128
686,131
650,110
681,126
643,151
643,72
681,139
652,98
643,71
676,158
668,234
654,110
669,141
661,104
683,160
713,221
628,72
643,87
637,193
673,191
695,128
657,86
654,102
671,179
665,120
639,95
646,96
643,177
651,130
654,139
637,128
643,101
670,114
669,143
684,136
629,41
649,109
709,201
654,121
679,98
650,162
675,152
694,258
675,166
649,93
683,217
665,112
646,127
678,156
715,263
658,126
648,102
657,133
699,199
718,255
638,130
669,90
681,154
658,191
659,144
685,132
646,68
677,111
645,157
685,84
704,133
654,123
665,243
667,106
645,60
677,95
651,275
641,67
676,134
706,165
669,118
691,118
677,193
751,119
647,103
670,98
668,75
633,65
729,205
680,78
665,253
658,93
639,75
644,78
722,131
730,232
660,100
708,107
714,289
684,232
663,141
672,128
697,234
638,61
651,75
645,100
686,183
684,309
635,57
643,73
665,120
652,101
637,127
721,135
655,121
638,110
648,91
675,188
661,223
665,106
675,175
632,57
653,110
639,83
649,111
658,102
646,47
695,165
685,178
678,97
643,58
691,171
626,104
672,93
659,130
686,54
660,96
680,105
667,165
621,103
679,126
676,137
650,44
720,179
702,418
691,178
641,65
658,122
648,130
644,85
679,192
668,211
653,108
643,115
702,146
648,96
652,90
681,155
646,102
669,108
640,132
651,82
676,211
673,118
721,193
663,136
649,86
673,77
649,99
623,74
649,53
652,115
658,86
640,61
673,89
697,167
669,126
666,230
684,119
698,138
639,111
707,117
680,218
656,92
666,85
670,92
664,126
710,163
699,135
682,132
666,73
653,130
655,66
636,277
635,100
647,127
655,82
712,255
651,119
654,111
660,123
656,89
670,100
651,79
645,62
632,89
647,80
660,58
692,121
651,116
698,120
633,86
663,128
675,109
638,142
664,138
643,83
624,53
639,87
676,123
682,145
631,71
646,69
674,97
646,75
662,127
661,88
674,129
667,106
649,79
666,79
682,201
668,177
669,87
629,61
736,116
708,177
668,82
715,255
673,186
662,176
681,95
638,143
675,213
649,75
728,220
641,84
680,137
653,85
659,164
635,67
660,105
660,145
671,204
658,84
645,126
702,119
670,172
656,12
641,53
656,75
648,157
631,67
710,143
671,56
674,124
662,183
643,87
660,109
648,89
663,71
660,135
657,172
648,66
654,108
687,129
677,120
659,125
680,251
644,58
655,66
666,192
663,111
661,64
700,159
681,212
676,108
652,76
666,164
640,105
695,245
642,79
684,120
679,316
686,95
669,118
641,72
674,157
654,103
705,128
766,230
647,105
662,271
639,65
673,142
656,141
663,112
654,87
656,82
643,75
663,98
650,124
680,76
702,365
637,80
669,84
666,142
658,136
735,277
653,68
690,127
639,76
648,79
661,91
674,160
633,66
649,113
706,120
665,102
690,224
665,94
639,82
682,106
674,141
639,116
645,100
659,103
701,145
660,168
672,254
643,67
660,122
654,100
629,80
645,87
672,241
697,117
648,111
668,186
649,120
685,139
628,84
665,64
640,142
643,126
671,116
687,130
658,130
658,120
688,138
676,125
643,121
662,151
708,189
662,75
652,69
668,188
659,86
638,56
688,95
667,87
657,86
670,209
664,115
644,113
666,237
650,71
658,116
636,68
681,124
647,77
664,92
653,132
668,102
666,207
651,108
686,133
660,81
674,195
675,160
678,138
734,163
650,118
677,113
656,124
640,74
672,254
660,145
656,61
663,225
641,88
700,172
655,78
656,159
652,109
640,158
663,106
698,269
684,214
672,18
644,117
645,153
664,141
677,118
640,68
696,186
696,89
699,103
671,160
635,58
634,76
665,174
689,155
663,132
674,158
670,55
661,124
652,119
636,69
701,148
642,141
655,78
647,69
707,175
729,132
627,57
649,76
663,101
644,118
686,160
658,122
640,151
747,190
662,121
659,74
669,92
651,75
664,98
680,113
673,116
650,87
704,145
644,79
651,142
731,122
684,105
650,90
680,143
675,167
700,264
641,123
680,175
657,125
700,7
647,95
719,177
651,154
641,75
709,280
672,131
653,136
649,71
678,199
660,127
668,107
651,117
643,72
642,95
632,105
665,116
641,87
658,82
683,141
670,90
634,81
664,108
659,124
691,254
667,191
678,111
658,132
636,187
665,148
644,113
661,132
647,82
712,143
638,129
663,118
700,116
684,194
680,135
661,113
679,96
649,78
666,151
685,109
662,264
648,100
726,186
642,73
656,82
672,207
668,104
659,91
656,90
644,73
638,48
661,92
652,183
652,105
657,129
706,199
636,200
679,120
712,158
662,103
670,206
645,67
647,87
667,155
661,77
642,130
675,103
656,90
679,156
646,109
648,107
644,77
657,102
659,256
644,57
682,100
631,71
649,89
713,85
660,171
673,118
687,143
677,206
649,84
674,161
686,143
650,99
659,193
654,146
666,85
652,126
660,135
694,113
735,267
684,102
664,113
677,188
652,77
692,155
672,106
667,104
655,90
642,86
702,200
661,82
637,81
659,105
643,219
672,130
673,131
677,136
655,69
691,173
660,102
644,122
667,190
653,108
634,42
651,77
654,77
648,237
674,83
649,120
665,201
702,363
644,73
654,111
670,234
714,12
660,123
656,123
646,105
665,127
695,142
664,99
687,148
660,95
672,87
688,125
711,98
646,83
642,83
651,118
665,141
687,122
644,90
695,143
634,55
671,457
661,52
713,148
732,126
645,84
652,120
659,115
650,83
657,109
650,82
688,130
662,81
708,129
637,89
632,122
638,154
669,77
703,234
651,76
644,107
663,134
691,176
641,82
639,87
671,87
649,100
666,144
631,93
641,58
656,119
653,79
651,147
646,87
681,295
635,100
649,90
671,79
694,248
640,87
667,129
645,86
669,86
655,148
697,219
642,93
639,64
693,253
653,82
658,100
653,112
638,73
674,138
676,152
644,113
678,95
653,95
643,107
667,196
648,98
687,176
633,66
643,86
644,80
648,130
700,80
679,165
685,225
669,124
641,62
651,72
660,118
688,235
655,76
649,208
656,240
638,94
686,304
645,102
647,107
655,93
716,190
635,63
669,105
676,172
677,117
698,189
669,96
710,213
685,86
669,103
647,128
646,84
673,174
680,95
658,60
668,131
684,109
637,179
659,176
683,235
669,170
647,65
639,60
721,227
659,101
678,88
648,119
675,143
653,150
642,68
684,159
643,97
672,150
642,73
676,113
647,239
673,96
668,85
658,151
695,138
670,154
647,86
709,310
682,123
638,69
675,159
649,79
745,134
716,295
643,93
648,92
648,128
633,117
725,202
650,70
655,76
708,208
674,187
679,123
668,135
692,180
658,75
723,185
667,93
696,210
658,75
682,128
668,115
675,165
626,54
654,69
648,92
661,96
672,96
649,165
645,93
736,188
652,160
644,150
694,282
657,120
677,197
651,123
641,114
637,67
653,86
671,160
663,113
673,131
643,67
662,127
654,80
652,108
660,81
649,75
672,155
670,148
642,89
730,136
660,80
643,135
681,252
662,284
656,88
647,116
731,147
653,127
655,41
667,177
716,207
689,104
676,144
648,116
652,145
722,272
650,79
660,92
709,191
655,111
654,90
675,143
659,83
678,177
661,130
665,313
653,115
650,79
670,218
692,187
650,110
707,265
665,116
732,115
672,95
646,76
650,51
690,89
701,323
651,83
674,127
650,126
647,63
650,129
670,145
638,66
672,181
683,153
655,117
706,111
658,67
701,91
638,115
668,75
667,128
649,141
651,104
642,133
677,111
732,114
636,78
655,189
685,146
649,143
658,93
689,185
665,170
643,85
669,168
697,76
650,88
663,84
679,151
697,172
637,102
731,229
670,130
643,96
664,139
677,179
649,80
638,119
668,106
642,77
628,54
655,127
649,150
663,102
672,121
682,139
648,163
647,154
713,86
656,169
642,68
651,101
685,92
642,110
649,80
684,164
656,71
656,174
687,136
664,238
660,61
642,115
675,103
664,133
652,88
714,338
678,207
669,69
678,94
660,119
642,150
674,91
687,145
666,155
634,75
712,92
657,78
668,138
667,154
660,7
655,308
730,87
650,185
647,79
663,120
654,103
665,135
653,120
655,125
656,142
636,102
644,71
645,149
651,128
643,75
651,90
699,189
680,139
674,119
711,212
685,158
688,154
665,174
658,131
691,142
673,121
632,61
681,82
713,227
640,66
771,106
672,106
664,83
691,172
678,321
689,106
645,96
651,109
676,9
